Date,Open,High,Low,Close,Adj Close,Volume
2000-04-19,104.923515,104.923515,98.291107,100.382408,58.043678,15349527
2000-04-20,100.382408,100.621414,97.574089,99.426384,57.490871,11122432
2000-04-24,97.514343,102.473709,96.797325,101.816444,58.872910,8915163
2000-04-25,101.816444,108.030594,101.756691,107.552582,62.189682,10016914
2000-04-26,107.552582,108.926865,104.206497,105.640533,61.084080,6467209
2000-04-27,104.684509,108.150093,103.907745,105.760040,61.153156,6608105
2000-04-28,107.074570,107.731834,105.282028,106.596558,61.636894,5113476
2000-05-01,107.552582,108.209846,105.580788,107.074570,61.913288,4389121
2000-05-02,106.118546,108.628105,105.819794,106.477058,61.567764,4272910
2000-05-03,105.640533,106.238052,101.876198,103.369980,59.771164,5798815
2000-05-04,104.326004,104.385757,102.473709,102.891968,59.494778,3798340
2000-05-05,101.935944,104.804016,101.816444,103.130974,59.632984,4911075
2000-05-08,103.310226,105.521034,102.891968,104.923515,60.742702,5048937
2000-05-09,105.640533,105.760040,103.489487,104.206497,60.327583,5088685
2000-05-10,100.860420,101.039673,97.574089,98.470360,57.006802,10473284
2000-05-11,99.426384,102.772469,98.649620,99.844643,57.802372,8479085
2000-05-12,99.187378,101.099426,98.709366,99.844643,57.802372,5857286
2000-05-15,99.426384,100.262909,97.514343,99.605644,57.664013,6179559
2000-05-16,100.501915,104.445503,100.382408,104.206497,60.327583,7600027
2000-05-17,102.772469,104.086998,101.457932,103.130974,59.704895,5778627
2000-05-18,101.457932,102.593208,100.083649,101.398186,58.701794,4787751
2000-05-19,101.398186,102.772469,100.382408,101.756691,58.909332,6714483
2000-05-22,101.338432,104.445503,98.888626,104.445503,60.465923,7080792
2000-05-23,104.206497,105.162521,102.413956,102.652962,59.428207,6253929
2000-05-24,101.816444,105.162521,99.605644,104.804016,60.673481,8560673
2000-05-25,105.640533,107.313576,101.696938,101.816444,58.943916,6242110
2000-05-26,100.860420,102.473709,99.964149,102.234703,59.186054,4494557
2000-05-30,103.011475,106.118546,102.951721,106.058792,61.399914,3783905
2000-05-31,105.640533,105.879539,102.473709,102.593208,59.393620,3904195
2000-06-01,102.832214,104.146751,100.860420,101.338432,58.667179,5975275
2000-06-02,104.206497,104.923515,102.891968,104.027245,60.223782,5725072
2000-06-05,103.668739,109.165871,103.668739,107.851341,62.437630,7616344
2000-06-06,107.313576,109.584129,106.357552,107.433075,62.195484,5616392
2000-06-07,107.552582,116.395790,106.596558,115.678780,66.969147,11626813
2000-06-08,114.125237,116.933556,112.332695,114.483749,66.277306,9754578
2000-06-09,114.603249,115.439774,113.647224,114.423996,66.242706,4957099
2000-06-12,113.886230,115.141014,113.617355,113.617355,65.775734,3807754
2000-06-13,113.647224,114.663002,111.615677,114.065491,66.035172,4192996
2000-06-14,113.647224,114.722755,110.420647,110.898659,64.201828,5525600
2000-06-15,110.898659,113.766731,110.779160,111.675430,64.651505,5634070
2000-06-16,111.197418,112.511948,108.269600,108.269600,62.679806,8416325
2000-06-19,108.508606,115.081261,108.269600,115.081261,66.623230,6337923
2000-06-20,114.722755,115.380020,110.301147,111.257172,64.409363,7430575
2000-06-21,110.480400,110.838913,108.508606,109.464630,63.371616,6785402
2000-06-22,109.106117,109.285370,106.357552,106.895317,61.884190,5076343
2000-06-23,108.508606,108.628105,105.939293,106.955070,61.918758,3515501
2000-06-26,108.030594,110.659653,107.911087,109.375000,63.319714,3792691
2000-06-27,106.716064,107.851341,103.967499,104.923515,60.742702,6911863
2000-06-28,105.162521,110.121895,105.043022,108.777489,62.973797,6732684
2000-06-29,106.835564,109.345123,105.222275,108.986618,63.094894,8042171
2000-06-30,107.731834,108.209846,103.847992,104.744263,60.638908,9008780
2000-07-03,103.967499,105.043022,103.549232,104.684509,60.604294,2410402
2000-07-05,100.979927,100.979927,96.677818,100.382408,58.113716,14999222
2000-07-06,100.382408,100.501915,95.602295,96.797325,56.038223,13527604
2000-07-07,98.171608,100.442162,97.155830,100.442162,58.148312,9447158
2000-07-10,100.083649,100.322655,98.350861,98.769119,57.179749,4405961
2000-07-11,98.709366,99.426384,96.558319,97.514343,56.453323,5878311
